,x1,x2,x3,x4,x5,Label
0,14,8,14,5,27,godown
1,8,14,5,27,12,godown
2,14,5,27,12,11,goup
3,5,27,12,11,20,godown
4,27,12,11,20,3,goup
5,12,11,20,3,25,goup
6,11,20,3,25,29,godown
7,20,3,25,29,23,godown
8,3,25,29,23,21,godown
9,25,29,23,21,16,goup
10,29,23,21,16,25,godown
11,23,21,16,25,21,goup
12,21,16,25,21,23,godown
13,16,25,21,23,18,godown
14,25,21,23,18,11,stable
15,21,23,18,11,11,godown
16,23,18,11,11,5,goup
17,18,11,11,5,10,goup
18,11,11,5,10,14,godown
19,11,5,10,14,6,godown
20,5,10,14,6,3,goup
21,10,14,6,3,5,godown
22,14,6,3,5,1,goup
23,6,3,5,1,6,stable
24,3,5,1,6,6,godown
25,5,1,6,6,2,godown
26,1,6,6,2,1,goup
27,6,6,2,1,3,godown
28,6,2,1,3,0,stable
29,2,1,3,0,0,goup
30,1,3,0,0,1,godown
31,3,0,0,1,0,goup
32,0,0,1,0,10,godown
33,0,1,0,10,0,goup
34,1,0,10,0,1,goup
35,0,10,0,1,2,godown
36,10,0,1,2,1,godown
37,0,1,2,1,0,goup
38,1,2,1,0,4,godown
39,2,1,0,4,0,goup
40,1,0,4,0,4,stable
41,0,4,0,4,4,godown
42,4,0,4,4,2,godown
43,0,4,4,2,0,goup
44,4,4,2,0,1,goup
45,4,2,0,1,6,godown
46,2,0,1,6,0,goup
47,0,1,6,0,1,stable
48,1,6,0,1,1,goup
49,6,0,1,1,5,goup
50,0,1,1,5,10,godown
51,1,1,5,10,4,goup
52,1,5,10,4,13,godown
53,5,10,4,13,11,stable
54,10,4,13,11,11,goup
55,4,13,11,11,13,goup
56,13,11,11,13,18,godown
57,11,11,13,18,15,goup
58,11,13,18,15,21,godown
59,13,18,15,21,3,goup
60,18,15,21,3,5,godown
61,15,21,3,5,3,goup
62,21,3,5,3,4,stable
63,3,5,3,4,4,godown
64,5,3,4,4,0,goup
65,3,4,4,0,3,godown
